64,Randy,Deritis,Randy_Deritis@kla-tencor.com,1,Author
65,Eddie,Doiron,Eddie.Doiron@wellsfargo.com,1,Author
66,Henry,Douyette,Henry.Douyette@gilead.com,1,Author
68,Raul,Ebert,RaulEbert@mckesson.com,1,Author
69,Gabriel,Endres,EndresG@varian.com,1,Author
70,Azalee,Famageltto,FamagelttoA@mcclatchy.com,1,Author
71,Bonita,Ficke,Bonita.Ficke@safeway.com,1,Author
72,Anita,Field,Anita.Field@rossstores.com,1,Author
73,Larry,Figueroa,Larry.Figueroa@pgecorp.com,1,Author
74,Peter,Fisher,Peter_Fisher@safeway.com,1,Author
75,Edward,Floyd,Edward.Floyd@safeway.com,1,Author
76,Christopher,Fox,ChristopherFox@levistrauss.com,1,Author
77,Wilbur,Fralick,Wilbur_Fralick@delmonte.com,1,Author
78,Sonja,Gabel,Sonja_Gabel@schnitzersteel.com,1,Author
80,Mario,Gauthier,MarioGauthier@pgecorp.com,1,Author
82,Michael,Gonzales,Michael.Gonzales@nikebiz.com,1,Author
83,Allen,Grable,Allen.Grable@safeco.com,1,Author
84,Charles,Grace,GraceC@kla-tencor.com,1,Author
85,Robert,Gregory,GregoryR@ea.com,1,Author
86,Jose,Griffin,JoseGriffin@longs.com,1,Author
87,Sherrie,Grosso,GrossoS@yahoo.com,1,Author
88,Warren,Gunn,Warren.Gunn@coremark.com,1,Author
90,Marsha,Harrigan,HarriganM@ebay.com,1,Author
91,John,Harris,JHarris@ebay.com,1,Author
92,John,Harris,John.Harris@gapinc.com,1,Author
93,Dan,Hasler,Dan_Hasler@lithia.com,1,Author
94,Gary,Hathaway,Gary.Hathaway@wellsfargo.com,1,Author
95,Richard,Helton,Richard.Helton@huntsman.com,1,Author
96,Robert,Henderson,RHenderson@kla-tencor.com,1,Author
97,Charles,Hensley,CHensley@safeco.com,1,Author
98,James,Hernandez,JamesHernandez@sierrapacificresources.com,1,Author
99,James,Hernandez,JamesHernandez@gilead.com,1,Author
100,Van,Herrmann,Van_Herrmann@levistrauss.com,1,Author
101,Mei,Hilgeman,HilgemanM@microsoft.com,1,Author
102,Roger,Ho,RogerHo@rhi.com,1,Author
103,Burt,Hokkanen,BurtHokkanen@sandisk.com,1,Author
104,Kathy,Holden,KathyHolden@zionsbancorporation.com,1,Author
106,Victoria,Holley,HolleyV@microsoft.com,1,Author
107,Florence,Holliday,FHolliday@zionsbancorporation.com,1,Author
108,Marie,Hopkins,MarieHopkins@cisco.com,1,Author
109,Otis,Horaney,OtisHoraney@sanmina-sci.com,1,Author
110,Laura,Horton,LHorton@lithia.com,1,Author
111,Barbara,Howell,HowellB@sierrapacificresources.com,1,Author
14,Thomas,Alexander,Thomas.Alexander@potlatchcorp.com,1,Author
15,James,Allen,James_Allen@microsoft.com,1,Author
16,John,Allen,JAllen@starbucks.com,1,Author
18,Dennis,Allison,DennisAllison@wellsfargo.com,1,Author
19,Carol,Alonzo,AlonzoC@williams-sonomainc.com,1,Author
20,Elisha,Arano,AranoE@intel.com,1,Author
22,Kip,Arrocha,Kip_Arrocha@wellsfargo.com,1,Author
23,Joan,Ash,Joan.Ash@google.com,1,Author
24,Sherill,Aumen,Sherill.Aumen@mcclatchy.com,1,Author
25,Franklin,Aycox,FranklinAycox@cisco.com,1,Author
26,Jeremy,Babineaux,Jeremy_Babineaux@nikebiz.com,1,Author
27,Sandra,Baird,Sandra.Baird@nordstrom.com,1,Author
28,Kimberly,Baker,Kimberly.Baker@intel.com,1,Author
30,Carl,Barker,CarlBarker@portlandgeneral.com,1,Author
31,Kevin,Belcher,Kevin_Belcher@symantec.com,1,Author
32,Miguel,Benavidez,BenavidezM@varian.com,1,Author
33,Elizabeth,Bennett,BennettE@levistrauss.com,1,Author
35,Debbie,Bojorquez,Debbie_Bojorquez@weyerhaeuser.com,1,Author
36,Travis,Bomkamp,BomkampT@national.com,1,Author
38,Roberta,Briones,BrionesR@precast.com,1,Author
40,Jerry,Brunson,Jerry.Brunson@micron.com,1,Author
41,Eric,Buckley,BuckleyE@chevron.com,1,Author
42,Joan,Burnett,BurnettJ@potlatchcorp.com,1,Author
43,Marsha,Cade,MCade@ea.com,1,Author
44,Lindy,Cantua,Lindy.Cantua@synnex.com,1,Author
45,Linda,Carlson,CarlsonL@igt.com,1,Author
46,Duane,Cascio,DCascio@delmonte.com,1,Author
47,Vada,Catalli,Vada_Catalli@zionsbancorporation.com,1,Author
48,Rebbecca,Cestone,CestoneR@sierrapacificresources.com,1,Author
49,Tommy,Chalker,TommyChalker@safeway.com,1,Author
50,Toni,Chavez,ChavezT@schnitzersteel.com,1,Author
51,Arthur,Church,Arthur_Church@google.com,1,Author
53,Richard,Collins,CollinsR@rossstores.com,1,Author
54,Robert,Cook,Robert_Cook@wellsfargo.com,1,Author
55,Joshua,Costa,Joshua.Costa@ebay.com,1,Author
57,Arthur,Crouch,ArthurCrouch@sandisk.com,1,Author
58,Kenneth,Culley,Kenneth.Culley@coremark.com,1,Author
59,Antione,Cummings,AntioneCummings@rhi.com,1,Author
60,Camie,Dagres,CDagres@urscorp.com,1,Author
61,Joseph,Davidson,JosephDavidson@delmonte.com,1,Author
113,Shawn,Hylton,ShawnHylton@weyerhaeuser.com,1,Author
114,Jennifer,Jackson,Jennifer_Jackson@sanmina-sci.com,1,Author
115,Linda,Jackson,LindaJackson@ebay.com,1,Author
116,Timothy,Jackson,TJackson@igt.com,1,Author
117,Barbara,Johnson,JohnsonB@sanmina-sci.com,1,Author
118,Barbara,Johnson,BJohnson@sierrapacificresources.com,1,Author
119,John,Johnson,JohnsonJ@ea.com,1,Author
120,David,Jordan,David_Jordan@sun.com,1,Author
121,Kandis,Kapps,KappsK@weyerhaeuser.com,1,Author
122,Martin,Keane,Martin_Keane@starbucks.com,1,Author
123,Nathaniel,Keeler,Nathaniel.Keeler@sun.com,1,Author
