64,Patricia,Diaz,DiazP@weyerhaeuser.com,1,Program Chair
89,Roger,Harden,Roger.Harden@kla-tencor.com,2,SubProgram Chair
112,Sabrina,Hundley,SHundley@juniper.net,2,SubProgram Chair
34,Russell,Bobb,RBobb@juniper.net,2,SubProgram Chair
52,Edward,Coffey,EdwardCoffey@micron.com,2,SubProgram Chair
56,Teresa,Cothern,Teresa_Cothern@delmonte.com,2,SubProgram Chair
62,Daren,Demetris,DDemetris@ebay.com,2,SubProgram Chair
141,Glenn,Luther,LutherG@spansion.com,2,SubProgram Chair
152,James,Miller,JamesMiller@symantec.com,2,SubProgram Chair
192,Carole,Rohrer,CaroleRohrer@igt.com,2,SubProgram Chair
216,James,Sullivan,James.Sullivan@chevron.com,2,SubProgram Chair
227,Mark,Tu,TuM@sanmina-sci.com,2,SubProgram Chair
233,Kenneth,Vasquez,KennethVasquez@portlandgeneral.com,2,SubProgram Chair
67,Malorie,Dowker,DowkerM@national.com,4,Reviewer
79,Palmer,Gally,Palmer_Gally@cisco.com,4,Reviewer
81,Emmett,Godyn,Emmett.Godyn@safeway.com,4,Reviewer
105,Linda,Holland,Linda.Holland@nikebiz.com,4,Reviewer
17,Maria,Allen,Maria.Allen@yahoo.com,4,Reviewer
21,Brett,Aronson,BAronson@lithia.com,4,Reviewer
29,Richard,Baker,Richard.Baker@mckesson.com,4,Reviewer
37,Tony,Brindley,BrindleyT@xilinx.com,4,Reviewer
39,Barbara,Brown,BBrown@pugetenergy.com,4,Reviewer
130,Mark,Larson,Mark_Larson@symantec.com,4,Reviewer
133,Robert,Lewis,RobertLewis@google.com,4,Reviewer
151,Ruth,Miles,Ruth.Miles@delmonte.com,4,Reviewer
211,Ryan,Starcher,RyanStarcher@delmonte.com,4,Reviewer
211,Ryan,Starcher,RyanStarcher@delmonte.com,4,Reviewer
186,Steven,Ritter,Steven_Ritter@microsoft.com,4,Reviewer
