UserID,FirstName,LastName,email,RoleID,PaperAssigned
65,Eddie,Doiron,Eddie.Doiron@wellsfargo.com,3,0
66,Henry,Douyette,Henry.Douyette@gilead.com,3,0
68,Raul,Ebert,RaulEbert@mckesson.com,3,0
69,Gabriel,Endres,EndresG@varian.com,3,0
70,Azalee,Famageltto,FamagelttoA@mcclatchy.com,3,0
71,Bonita,Ficke,Bonita.Ficke@safeway.com,3,0
72,Anita,Field,Anita.Field@rossstores.com,3,0
73,Larry,Figueroa,Larry.Figueroa@pgecorp.com,3,0
74,Peter,Fisher,Peter_Fisher@safeway.com,3,0
75,Edward,Floyd,Edward.Floyd@safeway.com,3,0
76,Christopher,Fox,ChristopherFox@levistrauss.com,3,0
77,Wilbur,Fralick,Wilbur_Fralick@delmonte.com,3,0
78,Sonja,Gabel,Sonja_Gabel@schnitzersteel.com,3,0
80,Mario,Gauthier,MarioGauthier@pgecorp.com,3,0
82,Michael,Gonzales,Michael.Gonzales@nikebiz.com,3,0
83,Allen,Grable,Allen.Grable@safeco.com,3,0
84,Charles,Grace,GraceC@kla-tencor.com,3,0
85,Robert,Gregory,GregoryR@ea.com,3,0
86,Jose,Griffin,JoseGriffin@longs.com,3,0
87,Sherrie,Grosso,GrossoS@yahoo.com,3,0
88,Warren,Gunn,Warren.Gunn@coremark.com,3,0
90,Marsha,Harrigan,HarriganM@ebay.com,3,0
91,John,Harris,JHarris@ebay.com,3,0
92,John,Harris,John.Harris@gapinc.com,3,0
93,Dan,Hasler,Dan_Hasler@lithia.com,3,0
94,Gary,Hathaway,Gary.Hathaway@wellsfargo.com,3,0
95,Richard,Helton,Richard.Helton@huntsman.com,3,0
96,Robert,Henderson,RHenderson@kla-tencor.com,3,0
97,Charles,Hensley,CHensley@safeco.com,3,0
98,James,Hernandez,JamesHernandez@sierrapacificresources.com,3,0
99,James,Hernandez,JamesHernandez@gilead.com,3,0
100,Van,Herrmann,Van_Herrmann@levistrauss.com,3,0
101,Mei,Hilgeman,HilgemanM@microsoft.com,3,0
102,Roger,Ho,RogerHo@rhi.com,3,0
103,Burt,Hokkanen,BurtHokkanen@sandisk.com,3,0
104,Kathy,Holden,KathyHolden@zionsbancorporation.com,3,0
106,Victoria,Holley,HolleyV@microsoft.com,3,0
